ID,Name,Price,Quantity
1000,Apple,100,50
1001,Banana,30,120
1002,Orange,60,80
1003,Mango,150,40
1004,Grapes,90,70
1005,Pineapple,120,30
1006,Strawberry,200,25
1007,Watermelon,50,60
1008,Blueberry,250,15
1009,Cherry,300,10
1010,Peach,110,35
1011,Plum,95,40
1012,Papaya,60,45
1013,Pear,80,50
1014,Kiwi,180,20
1015,Guava,70,55
1016,Lychee,140,25
1017,Pomegranate,150,30
1018,Cantaloupe,85,50
1019,Raspberry,220,20
1020,Avocado,250,20
1021,Jackfruit,90,60
1022,Coconut,40,90
1023,Tangerine,70,80
1024,Blackberry,230,20
1025,Lemon,60,100
1026,Fig,130,25
1027,Apricot,120,30
1028,Nectarine,110,25
1029,Cranberry,260,15
1030,Olive,60,85
1031,Cucumber,30,100
1032,Pomegranate,150,35
1033,Cantaloupe,85,60
1034,Raspberry,220,20
1035,Avocado,200,30
1036,Jackfruit,100,40
1037,Coconut,35,90
1038,Date,150,60
1039,Melon,70,40
1040,Blackberry,200,25
1041,Lime,50,90
1042,Clementine,80,80
1043,Quince,95,30
1044,Mandarin,70,55
1045,Kiwi,180,25
1046,Grapefruit,120,45
1047,Starfruit,140,20
1048,Mulberry,130,20
1049,Passionfruit,160,20
1050,Guvava,500.0,90
1051,Pineapple,900.0,80
