Date (StatewiseTestingDetails.csv),State (StatewiseTestingDetails.csv),Negative,Positive,Total Samples
17-04-2020,Andaman and Nicobar Islands,1210,12,1403
24-04-2020,Andaman and Nicobar Islands,,27,2679
27-04-2020,Andaman and Nicobar Islands,,33,2848
01-05-2020,Andaman and Nicobar Islands,,33,3754
16-05-2020,Andaman and Nicobar Islands,,33,6677
19-05-2020,Andaman and Nicobar Islands,,33,6965
20-05-2020,Andaman and Nicobar Islands,,33,7082
21-05-2020,Andaman and Nicobar Islands,,33,7167
22-05-2020,Andaman and Nicobar Islands,,33,7263
23-05-2020,Andaman and Nicobar Islands,,33,7327
24-05-2020,Andaman and Nicobar Islands,,33,7327
25-05-2020,Andaman and Nicobar Islands,,33,7363
26-05-2020,Andaman and Nicobar Islands,,33,7448
27-05-2020,Andaman and Nicobar Islands,,33,7499
28-05-2020,Andaman and Nicobar Islands,,33,7519
29-05-2020,Andaman and Nicobar Islands,,33,7567
30-05-2020,Andaman and Nicobar Islands,,33,7567
31-05-2020,Andaman and Nicobar Islands,,33,7706
01-06-2020,Andaman and Nicobar Islands,,33,7805
02-06-2020,Andaman and Nicobar Islands,,33,8086
03-06-2020,Andaman and Nicobar Islands,,33,8295
04-06-2020,Andaman and Nicobar Islands,,33,8413
05-06-2020,Andaman and Nicobar Islands,,33,8694
06-06-2020,Andaman and Nicobar Islands,,33,9037
07-06-2020,Andaman and Nicobar Islands,,33,9242
08-06-2020,Andaman and Nicobar Islands,,33,9341
09-06-2020,Andaman and Nicobar Islands,,33,9859
10-06-2020,Andaman and Nicobar Islands,,35,10010
11-06-2020,Andaman and Nicobar Islands,,38,10226
12-06-2020,Andaman and Nicobar Islands,,38,10697
13-06-2020,Andaman and Nicobar Islands,,38,10955
14-06-2020,Andaman and Nicobar Islands,,38,11356
15-06-2020,Andaman and Nicobar Islands,,41,11518
16-06-2020,Andaman and Nicobar Islands,,44,11809
17-06-2020,Andaman and Nicobar Islands,,44,12239
18-06-2020,Andaman and Nicobar Islands,,45,12622
19-06-2020,Andaman and Nicobar Islands,,47,12930
20-06-2020,Andaman and Nicobar Islands,,47,13320
21-06-2020,Andaman and Nicobar Islands,,48,13434
22-06-2020,Andaman and Nicobar Islands,,48,13511
23-06-2020,Andaman and Nicobar Islands,,50,13723
24-06-2020,Andaman and Nicobar Islands,,56,13994
25-06-2020,Andaman and Nicobar Islands,,59,14277
26-06-2020,Andaman and Nicobar Islands,,72,14583
27-06-2020,Andaman and Nicobar Islands,,73,14851
28-06-2020,Andaman and Nicobar Islands,,83,15094
29-06-2020,Andaman and Nicobar Islands,,90,15410
30-06-2020,Andaman and Nicobar Islands,,97,15709
01-07-2020,Andaman and Nicobar Islands,,100,15982
02-07-2020,Andaman and Nicobar Islands,,109,16278
03-07-2020,Andaman and Nicobar Islands,,116,16626
04-07-2020,Andaman and Nicobar Islands,,119,16832
05-07-2020,Andaman and Nicobar Islands,,125,16909
06-07-2020,Andaman and Nicobar Islands,,141,17095
07-07-2020,Andaman and Nicobar Islands,,147,17381
08-07-2020,Andaman and Nicobar Islands,,149,17643
09-07-2020,Andaman and Nicobar Islands,,151,17852
10-07-2020,Andaman and Nicobar Islands,,156,18046
11-07-2020,Andaman and Nicobar Islands,,163,18315
12-07-2020,Andaman and Nicobar Islands,,163,18447
13-07-2020,Andaman and Nicobar Islands,,166,18609
14-07-2020,Andaman and Nicobar Islands,,171,18884
15-07-2020,Andaman and Nicobar Islands,,176,19061
16-07-2020,Andaman and Nicobar Islands,,180,19227
17-07-2020,Andaman and Nicobar Islands,,194,19421
18-07-2020,Andaman and Nicobar Islands,,198,19671
19-07-2020,Andaman and Nicobar Islands,,203,19904
