State,Updated On,18-44 Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years (Doses Administered),45-60 Years(Individuals Vaccinated),60+ Years (Doses Administered),60+ Years(Individuals Vaccinated),Aefi,Covaxin (Doses Administered),CoviShield (Doses Administered),Female (Doses Administered),Female(Individuals Vaccinated),First Dose Administered,Male (Doses Administered),Male(Individuals Vaccinated),Second Dose Administered,Sessions,Sites,Sputnik V (Doses Administered),Total Doses Administered,Total Individuals Vaccinated,Transgender (Doses Administered),Transgender(Individuals Vaccinated)
India,16-01-2021,,,,,,,,579,47697,,24517,48276,,23757,0,3455,2957,,48276,48276,,2
India,17-01-2021,,,,,,,,635,57969,,31252,58604,,27348,0,8532,4954,,58604,58604,,4
India,18-01-2021,,,,,,,,1299,98150,,58083,99449,,41361,0,13611,6583,,99449,99449,,5
India,19-01-2021,,,,,,,,3017,192508,,113613,195525,,81901,0,17855,7951,,195525,195525,,11
India,20-01-2021,,,,,,,,3946,247334,,153145,251280,,98111,0,25472,10504,,251280,251280,,24
India,21-01-2021,,,,,,,,5367,360598,,233143,365965,,132784,0,32226,12600,,365965,365965,,38
India,22-01-2021,,,,,,,,8128,541253,,355402,549381,,193899,0,36988,14115,,549381,549381,,80
India,23-01-2021,,,,,,,,11192,747816,,491049,759008,,267856,0,43076,15605,,759008,759008,,103
India,24-01-2021,,,,,,,,13156,821902,,538647,835058,,296283,0,49851,18111,,835058,835058,,128
India,25-01-2021,,,,,,,,18858,1258246,,832766,1277104,,444137,0,55151,19682,,1277104,1277104,,201
India,26-01-2021,,,,,,,,19604,1274180,,844448,1293784,,449119,0,60821,21467,,1293784,1293784,,217
India,27-01-2021,,,,,,,,27377,1699113,,1140137,1726490,,586081,0,69495,23737,,1726490,1726490,,272
India,28-01-2021,,,,,,,,36921,2258570,,1523939,2295491,,771229,0,78523,25610,,2295491,2295491,,323
India,29-01-2021,,,,,,,,43604,2771199,,1875368,2814803,,939069,0,83664,26219,,2814803,2814803,,366
India,30-01-2021,,,,,,,,48300,3019436,,2044950,3067736,,1022380,0,87822,26643,,3067736,3067736,,406
India,31-01-2021,,,,,,,,58890,3068217,,2065391,3127107,,1061307,0,91593,27011,,3127107,3127107,,409
India,01-02-2021,,,,,,,,69372,3280893,,2197431,3350265,,1152344,0,97432,27751,,3350265,3350265,,490
India,02-02-2021,,,,,,,,76794,3451177,,2308898,3527971,,1218507,0,106461,29522,,3527971,3527971,,566
India,03-02-2021,,,,,,,,86001,3739834,,2500887,3825835,,1324273,0,116568,31167,,3825835,3825835,,675
India,04-02-2021,,,,,,,,99015,4215289,,2809042,4314304,,1504527,0,126714,32505,,4314304,4314304,,735
India,05-02-2021,,,,,,,,133911,4632013,,3054631,4765924,,1710466,0,137110,33947,,4765924,4765924,,827
India,06-02-2021,,,,,,,,195504,4916323,,3214244,5111827,,1896705,0,145121,34814,,5111827,5111827,,878
India,07-02-2021,,,,,,,,206130,4961969,,3238273,5168099,,1928947,0,153231,35778,,5168099,5168099,,879
India,08-02-2021,,,,,,,,290785,5324714,,3403576,5615499,,2211020,0,164116,36740,,5615499,5615499,,903
India,09-02-2021,,,,,,,,363692,5638782,,3543208,6002474,,2458329,0,175556,38131,,6002474,6002474,,937
India,10-02-2021,,,,,,,,480760,5981510,,3676114,6462270,,2785194,0,187224,39339,,6462270,6462270,,962
India,11-02-2021,,,,,,,,609108,6349445,,3803908,6958553,,3153649,0,197650,40332,,6958553,6958553,,996
India,12-02-2021,,,,,,,,740517,6683300,,3918381,7423817,,3504429,0,207633,40799,,7423817,7423817,,1007
India,13-02-2021,,,,,,,,781304,6906048,,4002279,7687352,,3684053,20859,216559,41308,,7708211,7687352,,1020
India,14-02-2021,,,,,,,,786042,6924325,,4009812,7710367,,3699535,21911,223423,41606,,7732278,7710367,,1020
India,15-02-2021,,,,,,,,825093,7286069,,4184377,8111162,,3925723,142489,233527,42016,,8253651,8111162,,1062
India,16-02-2021,,,,,,,,841412,7496188,,4291548,8337600,,4044967,239626,245131,42859,,8577226,8337600,,1085
India,17-02-2021,,,,,,,,894555,7810143,,4432078,8704698,,4271486,318541,256706,43310,,9023239,8704698,,1134
India,18-02-2021,,,,,,,,962251,7900240,,4351815,8862491,,4509554,475776,268275,43734,,9338267,8862491,,1122
India,19-02-2021,,,,,,,,1003518,8520049,,4702310,9523567,,4820055,717941,279055,44167,,10241508,9523567,,1202
India,20-02-2021,,,,,,,,1033170,8701335,,4766532,9734505,,4966750,884608,288334,44791,,10619113,9734505,,1223
India,21-02-2021,,,,,,,,1037565,8719652,,4773924,9757217,,4982068,893795,299726,45120,,10651012,9757217,,1225
India,22-02-2021,,,,,,,,1085940,8983323,,4841511,10069263,,5226538,1174416,312382,45490,,11243679,10069263,,1214
