State/Uts,Treatment outcome of TB patients notified in 2021 (Public Sector)-TB patients Notified,"No of Treatment outcome of TB patients notified in 2021 (Public Sector)-Cure Rate, ","Percentage of Treatment outcome of TB patients notified in 2021 (Public Sector)-Cure Rate, ","No of Treatment outcome of TB patients notified in 2021 (Public Sector)-Success Rate, ","Percentage  of Treatment outcome of TB patients notified in 2021 (Public Sector)-Success Rate, ","No of Treatment outcome of TB patients notified in 2021 (Public Sector)-Death Rate, ","Percentage  of Treatment outcome of TB patients notified in 2021 (Public Sector)-Death Rate, ","No of Treatment outcome of TB patients notified in 2021 (Public Sector)-Lost to follow up,","Percentage  of Treatment outcome of TB patients notified in 2021 (Public Sector)-Lost to follow up,","No of Treatment outcome of TB patients notified in 2021 (Public Sector)-Treatment Failure Rate, ","Percentage  of Treatment outcome of TB patients notified in 2021 (Public Sector)-Treatment Failure Rate,","No of Treatment outcome of TB patients notified in 2021 (Public Sector)-Regimen Change,","Percentage  of Treatment outcome of TB patients notified in 2021 (Public Sector)-Regimen Change, ","No of Treatment outcome of TB patients notified in 2021 (Public Sector)-Not evaluated, ","Percentage  of Treatment outcome of TB patients notified in 2021 (Public Sector)-Not evaluated, "
Andaman & Nicobar Islands,479,167 ,34.9,416 ,86.8,12 ,2.5,12 ,2.5,2 ,0.4,10 ,2.1,3 ,0.6
Andhra Pradesh,60910,31713 ,52.1,55708 ,91.5,1985 ,3.3,145 ,0.2,155 ,0.3,1347 ,2.2,81 ,0.1
Arunachal Pradesh,2726,884 ,32.4,2163 ,79.3,73 ,2.7,180 ,6.6,18 ,0.7,61 ,2.2,34 ,1.2
Assam,33440,9137 ,27.3,29435 ,88,1454 ,4.3,670 ,2,174 ,0.5,307 ,0.9,98 ,0.3
Bihar,62425,15688 ,25.1,47454 ,76,1653 ,2.6,2588 ,4.1,354 ,0.6,802 ,1.3,2454 ,3.9
Chandigarh,3042,1055 ,34.7,2588 ,85.1,116 ,3.8,95 ,3.1,31 ,1,67 ,2.2,16 ,0.5
Chhattisgarh,24944,10095 ,40.5,21449 ,86,1447 ,5.8,355 ,1.4,147 ,0.6,343 ,1.4,440 ,1.8
Dadra and Nagar Haveli and Daman and Diu,681,268 ,39.4,627 ,92.1,29 ,4.3,2 ,0.3,2 ,0.3,4 ,0.6,2 ,0.3
Delhi,65432,15850 ,24.2,50872 ,77.7,1679 ,2.6,3174 ,4.9,508 ,0.8,1512 ,2.3,905 ,1.4
Goa,1555,442 ,28.4,1206 ,77.6,151 ,9.7,57 ,3.7,12 ,0.8,40 ,2.6,1 ,0.1
Gujarat,97670,38688 ,39.6,85675 ,87.7,5596 ,5.7,1316 ,1.3,889 ,0.9,1911 ,2,259 ,0.3
